Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2020-11-01T00:00:00-08:00,22.5,36.3,13.3,0.2,-5.4
2020-11-02T01:00:00-08:00,23.2,34.4,13.8,0.1,-5.4
2020-11-03T01:00:00-08:00,17.8,6.8,14.4,0.2,-0.2
2020-11-04T01:00:00-08:00,13.8,9.9,9.4,0.1,-0.1
2020-11-05T01:00:00-08:00,44.4,2.3,6.1,36.6,-0.1
2020-11-06T01:00:00-08:00,34.4,16.9,3.0,27.3,-0.1
2020-11-07T01:00:00-08:00,39.2,7.0,0.7,33.2,0
2020-11-08T01:00:00-08:00,37.6,33.9,15.0,10.5,-0.2
2020-11-09T01:00:00-08:00,47.2,9.8,5.1,34.1,-0.1
2020-11-10T01:00:00-08:00,29.9,11.8,3.5,19.1,-0.1
2020-11-11T01:00:00-08:00,35.6,10.1,2.5,26.8,0
2020-11-12T01:00:00-08:00,32.9,9.0,2.9,25.2,-0.1
2020-11-13T01:00:00-08:00,22.9,19.6,9.7,7.9,-0.1
2020-11-14T01:00:00-08:00,24.9,5.8,3.2,18.0,-0.1
2020-11-15T01:00:00-08:00,18.6,21.6,6.2,8.2,-0.1
2020-11-16T01:00:00-08:00,19.2,2.1,8.0,9.7,-0.1
2020-11-17T01:00:00-08:00,16.3,7.3,3.7,10.3,-0.1
2020-11-18T01:00:00-08:00,21.9,3.5,0.4,18.9,0
2020-11-19T01:00:00-08:00,25.1,16.3,9.3,10.9,-0.1
2020-11-20T01:00:00-08:00,34.0,7.4,1.3,27.3,-0.1
2020-11-21T01:00:00-08:00,34.0,20.7,12.4,15.5,-0.1
2020-11-22T01:00:00-08:00,34.0,5.0,0,29.9,0
2020-11-23T01:00:00-08:00,34.1,7.9,1.5,26.8,0
2020-11-24T01:00:00-08:00,25.8,4.5,1.2,22.3,0
2020-11-25T01:00:00-08:00,21.4,18.3,8.5,7.7,-0.1
2020-11-26T01:00:00-08:00,14.6,5.3,3.4,8.4,-0.1
2020-11-27T01:00:00-08:00,18.4,22.4,8.0,6.4,-0.1
2020-11-28T01:00:00-08:00,21.0,5.7,9.3,8.9,-0.1
2020-11-29T01:00:00-08:00,27.6,14.8,6.9,16.5,-0.1
2020-11-30T01:00:00-08:00,25.0,23.2,8.1,10.5,-0.1
