Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2021-12-01T01:00:00-08:00,12.3,8.4,3.8,6.0,-0.1
2021-12-02T01:00:00-08:00,12.9,4.7,1.4,8.8,-0.1
2021-12-03T01:00:00-08:00,21.4,8.4,4.3,14.7,0
2021-12-04T01:00:00-08:00,35.1,2.2,0,33.4,0
2021-12-05T01:00:00-08:00,28.7,14.2,5.1,16.2,-0.1
2021-12-06T01:00:00-08:00,27.9,1.9,0,26.4,0
2021-12-07T01:00:00-08:00,19.7,3.5,0.5,17.7,0
2021-12-08T01:00:00-08:00,21.4,10.9,4.8,31.7,-0.1
2021-12-09T01:00:00-08:00,27.9,4.5,18.3,6.6,-0.1
2021-12-10T01:00:00-08:00,34.6,2.2,0,52.7,-0.3
2021-12-11T01:00:00-08:00,19.0,14.7,0,14.5,-9.2
2021-12-12T01:00:00-08:00,19.4,9.4,13.4,2.2,-5.6
2021-12-13T01:00:00-08:00,24.1,3.0,3.3,18.4,-0.1
2021-12-14T01:00:00-08:00,46.7,5.4,0.8,42.4,0
2021-12-15T01:00:00-08:00,20.3,2.8,0.4,18.4,0
