Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2021-11-01T00:00:00-08:00,18.0,7.6,14.7,0.2,-0.2
2021-11-02T00:00:00-08:00,15.7,3.3,2.6,10.6,-0.1
2021-11-03T00:00:00-08:00,14.0,10.9,5.4,5.8,-0.1
2021-11-04T00:00:00-08:00,12.1,7.6,4.3,5.0,-0.1
2021-11-05T00:00:00-08:00,21.1,23.6,11.1,3.8,-0.1
2021-11-06T00:00:00-08:00,28.3,10.7,5.3,19.1,-0.1
2021-11-07T00:00:00-08:00,28.1,8.7,2.2,20.5,-0.1
2021-11-08T01:00:00-08:00,28.5,29.7,11.5,7.2,-0.6
2021-11-09T01:00:00-08:00,24.3,20.8,18.6,0.8,-0.2
2021-11-10T01:00:00-08:00,24.0,21.4,14.6,4.8,-0.2
2021-11-11T01:00:00-08:00,39.4,2.2,0,37.6,0
2021-11-12T01:00:00-08:00,16.5,1.8,0,15.7,0
2021-11-13T01:00:00-08:00,15.6,5.9,1.1,10.6,0
2021-11-14T01:00:00-08:00,24.6,7.4,1.3,18.3,0
2021-11-15T01:00:00-08:00,16.6,7.8,3.1,10.3,0
2021-11-16T01:00:00-08:00,28.8,22.7,11.3,7.9,-0.1
2021-11-17T01:00:00-08:00,26.1,26.6,13.5,3.6,-0.1
2021-11-18T01:00:00-08:00,19.3,7.1,5.0,11.7,-0.1
2021-11-19T01:00:00-08:00,8.5,16.9,0.1,6.3,0
