Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-06-01T01:00:00-07:00,30.4,5.5,68.1,0.1,33.2
2023-06-02T01:00:00-07:00,32.3,10.5,74.2,0.1,45.7
2023-06-03T01:00:00-07:00,40.5,7.0,74.9,0.1,29.4
2023-06-04T01:00:00-07:00,32.1,11.2,79.1,0.1,48.9
2023-06-05T01:00:00-07:00,32.3,11.8,78.5,0.1,45.3
2023-06-06T01:00:00-07:00,39.5,14.1,75.4,0.2,37.3
2023-06-07T01:00:00-07:00,49.5,17.6,65.9,0.2,15.9
2023-06-08T01:00:00-07:00,45.0,17.5,68.3,0.1,20.9
2023-06-09T01:00:00-07:00,17.2,9.8,10.1,0.2,0.2
2023-06-10T01:00:00-07:00,27.4,7.9,24.4,4.2,0.1
2023-06-11T01:00:00-07:00,34.7,7.5,69.9,2.4,22.9
2023-06-12T01:00:00-07:00,36.1,7.7,72.5,0.1,32.4
2023-06-13T01:00:00-07:00,19.4,10.7,16.3,0.2,0.2
2023-06-14T01:00:00-07:00,26.4,8.7,51.1,0.2,19.4
2023-06-15T01:00:00-07:00,21.5,5.1,72.4,0.1,46.6
2023-06-16T01:00:00-07:00,32.8,16.0,38.4,0.2,14.6
2023-06-17T01:00:00-07:00,35.8,8.2,13.7,16.0,0.1
2023-06-18T01:00:00-07:00,16.8,3.6,43.1,3.0,10.4
2023-06-19T01:00:00-07:00,37.0,14.1,41.4,0.2,7.3
2023-06-20T01:00:00-07:00,28.3,14.0,24.3,0.2,0.2
2023-06-21T01:00:00-07:00,53.4,22.9,60.7,0.2,4.9
2023-06-22T01:00:00-07:00,59.7,17.4,72.2,0.2,6.9
2023-06-23T01:00:00-07:00,46.4,11.1,72.0,0.2,22.0
2023-06-24T01:00:00-07:00,39.5,14.8,56.4,0.2,13.5
2023-06-25T01:00:00-07:00,31.7,8.0,72.3,0.1,38.6
2023-06-26T01:00:00-07:00,41.2,17.8,63.6,0.1,30.1
2023-06-27T01:00:00-07:00,42.8,11.2,57.7,0.4,5.0
2023-06-28T01:00:00-07:00,46.4,10.8,67.1,0.3,20.3
2023-06-29T01:00:00-07:00,32.6,10.3,72.3,0.2,38.4
2023-06-30T01:00:00-07:00,31.3,12.3,73.6,0.3,42.3
