Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-02-01T01:00:00-08:00,20.8,7.6,21.0,6.9,0.1
2023-02-02T01:00:00-08:00,25.1,14.6,27.5,0.2,0.3
2023-02-03T01:00:00-08:00,15.3,5.4,3.9,6.7,0.1
2023-02-04T01:00:00-08:00,16.6,3.0,7.4,10.2,0.1
2023-02-05T01:00:00-08:00,21.4,2.0,6.8,15.5,0.1
2023-02-06T01:00:00-08:00,14.5,3.4,8.6,7.1,0.1
2023-02-07T01:00:00-08:00,14.4,4.6,9.9,5.9,0.1
2023-02-08T01:00:00-08:00,19.6,4.8,22.9,6.6,0.1
2023-02-09T01:00:00-08:00,18.1,13.3,14.2,0.2,0.1
2023-02-10T01:00:00-08:00,29.9,15.8,24.5,4.8,0.3
2023-02-11T01:00:00-08:00,32.6,14.6,30.3,10.6,5.9
2023-02-12T01:00:00-08:00,35.8,7.9,24.0,13.0,0.1
2023-02-13T01:00:00-08:00,31.5,6.0,13.0,19.3,0.0
2023-02-14T01:00:00-08:00,34.5,12.6,32.5,9.2,0.1
2023-02-15T01:00:00-08:00,43.5,16.0,35.3,9.3,0.2
2023-02-16T01:00:00-08:00,31.7,7.7,11.4,17.4,0.1
2023-02-17T01:00:00-08:00,25.4,1.7,5.8,20.7,0.0
2023-02-18T01:00:00-08:00,20.0,4.3,9.3,11.9,0.1
2023-02-19T01:00:00-08:00,22.0,0.4,5.0,17.5,0.0
2023-02-20T01:00:00-08:00,23.0,1.0,5.5,18.6,0.0
2023-02-21T01:00:00-08:00,26.8,9.2,27.2,10.0,0.1
2023-02-22T01:00:00-08:00,32.6,18.3,22.9,3.6,0.1
2023-02-23T01:00:00-08:00,43.7,8.0,34.2,17.1,0.1
2023-02-24T01:00:00-08:00,52.9,24.4,45.1,6.0,0.2
2023-02-25T01:00:00-08:00,39.1,20.0,28.3,8.3,0.3
2023-02-26T01:00:00-08:00,37.8,13.0,22.9,16.0,0.2
2023-02-27T01:00:00-08:00,21.1,2.7,9.0,12.9,0.1
2023-02-28T01:00:00-08:00,24.1,8.0,18.0,8.1,0.2
