Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2024-01-01T00:00:00-08:00,17.9,3.2,9.9,9.4,0.0
2024-01-02T00:00:00-08:00,23.6,0.0,2.2,22.0,0.0
2024-01-03T00:00:00-08:00,26.4,2.0,7.5,20.2,0.0
2024-01-04T00:00:00-08:00,24.7,0.0,2.9,22.5,0.0
2024-01-05T00:00:00-08:00,65.7,0.0,2.1,64.4,0.0
2024-01-06T00:00:00-08:00,40.2,2.8,10.0,31.6,0.0
2024-01-07T00:00:00-08:00,44.5,0.4,5.9,39.3,0.0
2024-01-08T00:00:00-08:00,37.5,0.0,1.6,36.8,0.0
2024-01-09T00:00:00-08:00,26.9,0.0,4.2,23.7,0.0
2024-01-10T00:00:00-08:00,25.6,2.3,8.3,18.5,0.0
2024-01-11T00:00:00-08:00,28.6,8.3,14.9,15.5,0.0
2024-01-12T00:00:00-08:00,39.1,0.4,7.9,31.9,0.0
2024-01-13T00:00:00-08:00,48.7,2.6,10.5,39.7,0.0
2024-01-14T00:00:00-08:00,80.3,0.4,20.9,78.8,0.0
2024-01-15T00:00:00-08:00,42.6,12.8,22.0,21.9,0.0
2024-01-16T00:00:00-08:00,43.1,5.3,12.9,31.1,0.0
2024-01-17T00:00:00-08:00,35.4,0.0,2.6,33.5,0.0
2024-01-18T00:00:00-08:00,47.5,0.0,2.3,46.1,0.0
2024-01-19T00:00:00-08:00,32.8,0.0,6.2,27.6,0.0
2024-01-20T00:00:00-08:00,36.0,7.1,16.4,21.1,0.0
2024-01-21T00:00:00-08:00,29.7,0.0,3.5,26.8,0.0
2024-01-22T00:00:00-08:00,36.0,0.0,3.7,33.3,0.0
2024-01-23T00:00:00-08:00,22.4,8.2,22.2,7.7,0.0
2024-01-24T00:00:00-08:00,24.1,5.2,5.4,14.3,0.0
2024-01-25T00:00:00-08:00,49.6,1.8,10.6,40.2,0.0
2024-01-26T00:00:00-08:00,29.5,1.0,7.7,22.8,0.0
2024-01-27T00:00:00-08:00,29.4,1.7,7.0,23.7,0.0
2024-01-28T00:00:00-08:00,24.0,1.6,8.2,16.8,0.0
2024-01-29T00:00:00-08:00,23.7,2.6,10.5,14.5,0.0
2024-01-30T00:00:00-08:00,22.1,1.4,5.9,17.3,0.0
2024-01-31T00:00:00-08:00,23.2,0.0,2.2,21.8,0.0
