Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2020-06-01T01:00:00-07:00,8.3,3.2,76.5,0.1,66.9
2020-06-02T01:00:00-07:00,8.0,3.2,41.1,0.1,31.7
2020-06-03T01:00:00-07:00,65.3,17.6,68.5,0.2,10.9
2020-06-04T01:00:00-07:00,26.3,12.5,51.3,0.1,18.3
2020-06-05T01:00:00-07:00,25.7,10.1,45.5,0.1,16.9
2020-06-06T01:00:00-07:00,37.9,13.9,65.8,0.2,26.3
2020-06-07T01:00:00-07:00,28.4,13.4,55.3,0.1,27.5
2020-06-08T01:00:00-07:00,17.6,6.7,55.9,0.1,28.7
2020-06-09T01:00:00-07:00,11.4,5.9,23.9,0.2,12.7
2020-06-10T01:00:00-07:00,29.7,12.9,67.3,0.1,42.7
2020-06-11T01:00:00-07:00,20.0,7.0,49.0,0.2,19.9
2020-06-12T01:00:00-07:00,9.9,4.7,17.7,0.1,4.6
2020-06-13T01:00:00-07:00,10.9,4.9,46.9,0.1,35.2
2020-06-14T01:00:00-07:00,11.4,4.6,58.1,0.1,45.2
2020-06-15T01:00:00-07:00,9.9,4.5,32.1,0.1,20.3
2020-06-16T01:00:00-07:00,10.1,3.9,62.1,0.1,49.7
2020-06-17T01:00:00-07:00,27.0,11.8,69.9,0.1,48.8
2020-06-18T01:00:00-07:00,20.0,7.6,80.0,0.1,52.3
2020-06-19T01:00:00-07:00,33.4,10.6,60.7,0.1,30.0
2020-06-20T01:00:00-07:00,53.6,31.7,54.3,0.2,16.0
2020-06-21T01:00:00-07:00,14.0,6.3,47.6,0.1,8.5
2020-06-22T01:00:00-07:00,59.5,15.6,78.2,0.1,19.9
2020-06-23T01:00:00-07:00,26.2,12.9,67.4,0.1,40.3
2020-06-24T01:00:00-07:00,39.1,17.5,50.4,0.2,13.1
2020-06-25T01:00:00-07:00,28.5,11.8,78.2,0.4,45.1
2020-06-26T01:00:00-07:00,18.5,9.0,60.5,0.1,37.5
2020-06-27T01:00:00-07:00,13.5,7.9,15.9,0.1,0.1
2020-06-28T01:00:00-07:00,18.0,10.3,58.3,0.1,40.3
2020-06-29T01:00:00-07:00,13.1,6.2,58.1,0.1,37.4
2020-06-30T01:00:00-07:00,12.4,6.3,20.9,0.1,6.9
