Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2024-05-01T00:00:00-07:00,27.2,11.1,64.2,0.0,39.9
2024-05-02T00:00:00-07:00,31.3,15.5,65.1,0.0,29.3
2024-05-03T00:00:00-07:00,27.6,14.4,49.4,0.0,22.7
2024-05-04T00:00:00-07:00,21.9,13.1,17.6,0.0,0.0
2024-05-05T00:00:00-07:00,20.6,13.6,6.5,0.9,0.0
2024-05-06T00:00:00-07:00,24.5,4.1,57.8,3.3,5.8
2024-05-07T00:00:00-07:00,22.6,8.4,46.4,0.0,23.1
2024-05-08T00:00:00-07:00,20.8,8.1,69.3,0.0,46.8
2024-05-09T00:00:00-07:00,43.1,19.5,68.9,0.0,32.2
2024-05-10T00:00:00-07:00,53.2,17.8,67.3,0.0,5.8
2024-05-11T00:00:00-07:00,43.7,5.6,66.9,0.0,15.0
2024-05-12T00:00:00-07:00,34.2,6.1,65.4,0.0,30.8
2024-05-13T00:00:00-07:00,28.4,13.2,28.1,0.0,3.9
2024-05-14T00:00:00-07:00,25.7,11.1,65.8,0.0,32.5
2024-05-15T00:00:00-07:00,56.0,11.1,64.9,0.0,7.7
2024-05-16T00:00:00-07:00,19.4,8.9,34.2,0.0,10.1
2024-05-17T00:00:00-07:00,32.1,9.6,47.2,0.0,14.4
2024-05-18T00:00:00-07:00,18.2,10.9,21.7,0.0,3.2
2024-05-19T00:00:00-07:00,39.0,15.4,57.4,0.0,17.1
2024-05-20T00:00:00-07:00,28.1,6.3,68.3,0.0,33.0
2024-05-21T00:00:00-07:00,23.9,15.7,9.0,0.0,0.0
2024-05-22T00:00:00-07:00,15.4,6.2,49.4,0.0,15.2
2024-05-23T00:00:00-07:00,26.0,10.4,47.7,0.0,23.0
2024-05-24T00:00:00-07:00,16.1,7.5,18.6,0.0,0.0
2024-05-25T00:00:00-07:00,16.7,7.3,23.4,0.0,1.5
2024-05-26T00:00:00-07:00,25.9,12.3,24.4,0.0,0.0
2024-05-27T00:00:00-07:00,39.9,14.1,46.9,0.0,2.8
2024-05-28T00:00:00-07:00,18.7,6.1,25.1,0.0,1.1
2024-05-29T00:00:00-07:00,36.1,15.9,33.5,0.0,0.0
2024-05-30T00:00:00-07:00,20.5,7.1,57.1,0.0,31.2
2024-05-31T00:00:00-07:00,27.1,5.7,69.9,0.0,39.3
