Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-06-01T01:00:00-07:00,11.3,41.4,4.7,0.1,-29.9
2022-06-02T01:00:00-07:00,14.5,50.2,6.4,0.1,-35.8
2022-06-03T01:00:00-07:00,23.5,38.6,12.9,0.2,-19.6
2022-06-04T01:00:00-07:00,31.0,54.8,8.9,0.2,-18.3
2022-06-05T01:00:00-07:00,22.5,41.5,11.3,0.2,-18.7
2022-06-06T01:00:00-07:00,18.4,61.3,5.6,0.1,-36.6
2022-06-07T01:00:00-07:00,32.3,60.2,13.7,0.2,-35.0
2022-06-08T01:00:00-07:00,30.5,57.5,9.2,0.2,-19.1
2022-06-09T01:00:00-07:00,19.1,15.0,11.6,0.2,-0.2
2022-06-10T01:00:00-07:00,29.9,35.5,12.7,0.2,-3.7
2022-06-11T01:00:00-07:00,37.4,57.0,12.0,0.2,-14.6
2022-06-12T01:00:00-07:00,22.2,30.3,9.2,0.2,-5.4
2022-06-13T01:00:00-07:00,24.1,36.5,11.9,0.2,-13.9
2022-06-14T01:00:00-07:00,19.8,42.2,9.7,0.2,-19.9
2022-06-15T01:00:00-07:00,17.3,32.0,7.5,0.1,-10.8
2022-06-16T01:00:00-07:00,31.2,67.6,11.6,0.1,-38.0
2022-06-17T01:00:00-07:00,20.5,15.4,10.5,0.2,-0.2
2022-06-18T01:00:00-07:00,15.7,27.2,8.0,0.1,-0.2
2022-06-19T01:00:00-07:00,29.4,55.3,8.7,0.1,-24.5
2022-06-20T01:00:00-07:00,50.2,47.1,13.6,0.2,-0.2
2022-06-21T01:00:00-07:00,60.5,70.1,11.7,0.2,-3.4
2022-06-22T01:00:00-07:00,19.6,27.2,8.5,0.1,-5.0
2022-06-23T01:00:00-07:00,34.2,73.9,9.1,0.1,-40.6
2022-06-24T01:00:00-07:00,28.5,77.9,7.3,0.1,-45.1
2022-06-25T01:00:00-07:00,52.9,76.6,18.2,0.1,-32.6
2022-06-26T01:00:00-07:00,46.8,76.6,10.6,0.1,-21.8
2022-06-27T01:00:00-07:00,55.3,66.2,26.0,0.1,-19.1
2022-06-28T01:00:00-07:00,25.0,33.1,9.3,5.2,-0.1
2022-06-29T01:00:00-07:00,22.9,41.1,7.9,0.1,-13.6
2022-06-30T01:00:00-07:00,34.8,73.0,11.1,0.1,-40.7
