Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2024-12-01T00:00:00-08:00,19.9,8.6,21.2,5.6,0.0
2024-12-02T00:00:00-08:00,32.7,4.8,6.3,22.6,0.0
2024-12-03T00:00:00-08:00,32.8,2.0,8.7,25.2,0.0
2024-12-04T00:00:00-08:00,46.9,1.2,9.7,38.1,0.0
2024-12-05T00:00:00-08:00,28.3,5.1,13.5,16.4,0.0
2024-12-06T00:00:00-08:00,28.4,1.5,6.6,22.6,0.0
2024-12-07T00:00:00-08:00,26.8,0.0,2.2,25.6,0.0
2024-12-08T00:00:00-08:00,28.5,0.4,3.9,25.3,0.0
2024-12-09T00:00:00-08:00,28.3,1.6,7.9,21.6,0.0
2024-12-10T00:00:00-08:00,24.7,8.2,19.1,9.1,0.0
2024-12-11T00:00:00-08:00,46.7,2.0,7.3,38.9,0.0
2024-12-12T00:00:00-08:00,22.9,0.5,3.3,20.6,0.0
2024-12-13T00:00:00-08:00,20.1,0.4,2.8,18.1,0.0
2024-12-14T00:00:00-08:00,45.1,3.3,7.5,39.0,0.0
2024-12-15T00:00:00-08:00,34.8,4.3,12.4,23.7,0.0
2024-12-16T00:00:00-08:00,27.2,0.9,7.4,20.7,0.0
2024-12-17T00:00:00-08:00,26.5,0.0,2.2,25.2,0.0
2024-12-18T00:00:00-08:00,19.9,5.6,12.9,8.6,0.0
2024-12-19T00:00:00-08:00,21.3,0.7,5.4,16.7,0.0
2024-12-20T00:00:00-08:00,20.6,0.0,3.4,18.3,0.0
2024-12-21T00:00:00-08:00,36.9,0.3,2.7,34.9,0.0
2024-12-22T00:00:00-08:00,27.4,0.0,2.8,25.2,0.0
2024-12-23T00:00:00-08:00,27.4,6.3,13.2,15.8,0.0
2024-12-24T00:00:00-08:00,26.1,2.4,10.4,16.6,0.0
2024-12-25T00:00:00-08:00,26.2,0.0,1.3,25.8,0.0
2024-12-26T00:00:00-08:00,26.4,2.5,6.8,20.9,0.0
2024-12-27T00:00:00-08:00,32.1,0.0,2.6,30.2,0.0
2024-12-28T00:00:00-08:00,17.5,0.6,4.5,14.1,0.0
2024-12-29T00:00:00-08:00,19.5,0.9,3.3,17.2,0.0
2024-12-30T00:00:00-08:00,23.3,0.8,4.8,19.6,0.0
2024-12-31T00:00:00-08:00,23.6,4.3,11.4,13.7,0.0
