Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-04-01T01:00:00-07:00,29.5,45.7,12.4,0.2,-16.4
2022-04-02T01:00:00-07:00,25.7,49.7,9.0,0.2,-19.2
2022-04-03T01:00:00-07:00,18.6,17.0,8.8,0.2,-0.2
2022-04-04T01:00:00-07:00,24.2,53.0,8.5,0.2,-20.1
2022-04-05T01:00:00-07:00,19.9,55.3,7.3,0.1,-33.0
2022-04-06T01:00:00-07:00,22.5,58.8,7.8,0.1,-35.8
2022-04-07T01:00:00-07:00,14.7,55.6,7.0,0.1,-38.4
2022-04-08T01:00:00-07:00,21.0,50.8,10.5,0.2,-30.8
2022-04-09T01:00:00-07:00,24.2,41.0,11.9,0.2,-12.5
2022-04-10T01:00:00-07:00,30.5,36.7,15.8,0.2,-6.5
2022-04-11T01:00:00-07:00,30.5,41.2,16.9,0.2,-8.2
2022-04-12T01:00:00-07:00,25.7,43.6,9.9,0.2,-11.3
2022-04-13T01:00:00-07:00,26.1,25.1,15.3,0.2,-0.2
2022-04-14T01:00:00-07:00,36.7,47.3,13.6,0.3,-3.0
2022-04-15T01:00:00-07:00,29.4,57.0,11.0,0.2,-25.4
2022-04-16T01:00:00-07:00,36.7,39.0,16.1,0.3,-7.9
2022-04-17T01:00:00-07:00,27.7,64.3,8.2,0.2,-27.0
2022-04-18T01:00:00-07:00,12.2,11.3,6.1,0.2,-0.2
2022-04-19T01:00:00-07:00,55.4,62.5,12.5,0.3,-2.4
2022-04-20T01:00:00-07:00,20.9,19.9,8.9,0.2,-0.2
2022-04-21T01:00:00-07:00,29.5,51.4,8.3,0.2,-16.2
2022-04-22T01:00:00-07:00,18.8,61.3,8.8,0.2,-42.8
2022-04-23T01:00:00-07:00,25.7,57.2,9.2,0.2,-30.0
2022-04-24T01:00:00-07:00,21.8,61.9,10.3,0.1,-40.3
2022-04-25T01:00:00-07:00,20.5,37.2,11.3,0.2,-13.0
2022-04-26T01:00:00-07:00,15.6,56.6,8.0,0.2,-39.0
2022-04-27T01:00:00-07:00,31.1,56.5,7.3,0.2,-22.6
2022-04-28T01:00:00-07:00,23.4,38.2,9.0,0.2,-14.0
2022-04-29T01:00:00-07:00,22.7,54.8,9.2,0.2,-28.5
2022-04-30T01:00:00-07:00,13.9,55.6,5.0,0.1,-38.2
