Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-01-01T01:00:00-08:00,24.6,1.6,8.0,17.3,0.1
2023-01-02T01:00:00-08:00,26.8,6.0,12.9,15.5,0.1
2023-01-03T01:00:00-08:00,25.0,5.2,11.1,14.9,0.1
2023-01-04T01:00:00-08:00,18.9,3.2,8.5,11.3,0.1
2023-01-05T01:00:00-08:00,13.5,0.3,2.7,11.5,0.0
2023-01-06T01:00:00-08:00,15.5,2.7,7.1,9.6,0.1
2023-01-07T01:00:00-08:00,13.2,0.0,2.3,11.4,0.0
2023-01-08T01:00:00-08:00,19.8,0.0,2.8,18.0,0.0
2023-01-09T01:00:00-08:00,15.9,1.2,4.0,12.4,0.0
2023-01-10T01:00:00-08:00,25.9,7.5,22.2,6.4,1.2
2023-01-11T01:00:00-08:00,16.2,6.7,18.2,4.6,4.6
2023-01-12T01:00:00-08:00,31.2,0.4,2.0,28.9,0.0
2023-01-13T01:00:00-08:00,17.3,0.0,3.5,14.8,0.0
2023-01-14T01:00:00-08:00,30.5,12.1,19.9,11.4,4.3
2023-01-15T01:00:00-08:00,26.2,0.5,4.1,22.8,0.0
2023-01-16T01:00:00-08:00,27.3,12.3,23.5,7.1,0.9
2023-01-17T01:00:00-08:00,33.0,6.0,8.1,22.9,0.1
2023-01-18T01:00:00-08:00,26.4,0.0,2.5,24.2,0.0
2023-01-19T01:00:00-08:00,29.7,4.4,11.2,19.7,0.1
2023-01-20T01:00:00-08:00,39.5,7.0,17.2,23.6,0.1
2023-01-21T01:00:00-08:00,55.3,0.0,4.5,51.2,0.0
2023-01-22T01:00:00-08:00,44.3,1.9,10.8,34.5,0.1
2023-01-23T01:00:00-08:00,25.4,10.1,19.3,10.1,0.1
2023-01-24T01:00:00-08:00,36.4,1.9,3.1,32.0,0.1
2023-01-25T01:00:00-08:00,43.4,1.2,7.2,37.1,0.0
2023-01-26T01:00:00-08:00,42.9,0.6,5.9,37.7,0.0
2023-01-27T01:00:00-08:00,23.3,7.5,13.7,11.3,0.1
2023-01-28T01:00:00-08:00,23.1,3.0,11.9,12.0,0.1
2023-01-29T01:00:00-08:00,32.4,12.4,32.7,8.6,4.1
2023-01-30T01:00:00-08:00,49.9,14.5,29.3,22.4,0.1
2023-01-31T01:00:00-08:00,24.2,6.2,10.7,12.6,0.1
