Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-01-01T01:00:00-08:00,102.7,7.5,0.1,116.9,0
2022-01-02T01:00:00-08:00,42.6,1.8,17.4,24.1,-0.1
2022-01-03T01:00:00-08:00,54.2,6.4,0.9,50.8,0
2022-01-04T01:00:00-08:00,24.4,9.6,4.7,17.4,-0.1
2022-01-05T01:00:00-08:00,33.8,3.4,0.1,31.7,0
2022-01-06T01:00:00-08:00,22.3,1.5,0.1,22.1,0
2022-01-07T01:00:00-08:00,20.8,2.8,0.1,20.6,0
2022-01-08T01:00:00-08:00,34.4,10.6,0.5,29.9,0
2022-01-09T01:00:00-08:00,31.0,24.7,15.0,10.6,-5.3
2022-01-10T01:00:00-08:00,16.8,3.1,3.6,11.5,0
2022-01-11T01:00:00-08:00,11.9,3.8,0.6,9.8,0
2022-01-12T01:00:00-08:00,11.8,4.3,0.1,9.8,0
2022-01-13T01:00:00-08:00,17.2,14.4,8.0,5.3,-0.1
2022-01-14T01:00:00-08:00,26.4,14.2,7.4,14.4,-0.1
2022-01-15T01:00:00-08:00,31.7,5.0,0.1,27.8,0
2022-01-16T01:00:00-08:00,26.2,4.6,0.1,23.6,0
2022-01-17T01:00:00-08:00,21.5,5.8,0.7,17.9,0
2022-01-18T01:00:00-08:00,16.2,4.2,0.1,14.2,0
2022-01-19T01:00:00-08:00,19.9,6.5,1.3,15.2,-0.1
2022-01-20T01:00:00-08:00,26.5,5.8,1.4,22.6,0
2022-01-21T01:00:00-08:00,19.0,16.7,6.3,9.3,-0.1
2022-01-22T01:00:00-08:00,23.2,23.3,14.1,3.0,-0.2
2022-01-23T01:00:00-08:00,25.2,6.0,4.9,16.8,-0.1
2022-01-24T01:00:00-08:00,39.3,3.9,0.1,37.7,0
2022-01-25T01:00:00-08:00,26.8,14.0,6.6,15.4,-0.1
2022-01-26T01:00:00-08:00,26.8,13.9,6.9,15.3,-0.1
2022-01-27T01:00:00-08:00,20.2,25.8,10.3,5.9,-0.1
2022-01-28T01:00:00-08:00,54.5,25.1,18.8,22.9,-0.2
2022-01-29T01:00:00-08:00,37.3,13.8,4.1,25.6,-0.1
2022-01-30T01:00:00-08:00,20.9,3.4,0.1,19.2,0
2022-01-31T01:00:00-08:00,29.1,21.4,12.8,11.2,-0.1
