Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2020-07-01T01:00:00-07:00,18.9,8.9,35.8,0.1,19.0
2020-07-02T01:00:00-07:00,33.6,16.4,37.9,0.2,0.7
2020-07-03T01:00:00-07:00,46.7,29.9,42.6,0.1,11.5
2020-07-04T01:00:00-07:00,37.2,12.4,66.0,0.2,9.9
2020-07-05T01:00:00-07:00,41.9,14.6,77.6,0.1,35.1
2020-07-06T01:00:00-07:00,32.7,11.2,70.3,0.1,30.9
2020-07-07T01:00:00-07:00,18.7,11.4,27.6,0.1,3.1
2020-07-08T01:00:00-07:00,17.9,4.9,59.7,0.1,42.1
2020-07-09T01:00:00-07:00,49.6,31.1,42.2,0.2,15.4
2020-07-10T01:00:00-07:00,55.1,15.0,68.2,0.2,0.2
2020-07-11T01:00:00-07:00,21.9,9.4,46.0,0.1,6.1
2020-07-12T01:00:00-07:00,27.1,13.3,55.6,0.1,33.3
2020-07-13T01:00:00-07:00,16.9,7.2,67.1,0.1,42.6
2020-07-14T01:00:00-07:00,31.4,14.1,78.0,0.1,50.9
2020-07-15T01:00:00-07:00,39.8,19.9,75.1,0.1,40.8
2020-07-16T01:00:00-07:00,40.1,20.9,57.2,0.2,8.7
2020-07-17T01:00:00-07:00,29.6,18.1,24.8,0.2,0.2
2020-07-18T01:00:00-07:00,36.9,16.4,76.3,0.1,29.6
2020-07-19T01:00:00-07:00,48.2,17.1,74.1,0.2,25.4
2020-07-20T01:00:00-07:00,39.9,13.1,74.6,0.2,26.2
2020-07-21T01:00:00-07:00,32.0,14.1,72.4,0.1,37.2
2020-07-22T01:00:00-07:00,33.9,21.3,30.9,0.2,0.3
2020-07-23T01:00:00-07:00,35.4,9.7,66.2,0.2,22.2
2020-07-24T01:00:00-07:00,14.7,7.3,48.2,0.1,31.3
2020-07-25T01:00:00-07:00,26.7,12.3,75.9,0.1,50.8
2020-07-26T01:00:00-07:00,26.2,6.9,75.0,0.1,43.1
2020-07-27T01:00:00-07:00,36.5,15.7,72.0,0.1,37.0
2020-07-28T01:00:00-07:00,28.4,16.1,68.2,0.1,34.5
2020-07-29T01:00:00-07:00,64.9,31.1,74.1,0.1,24.6
2020-07-30T01:00:00-07:00,27.8,11.4,70.4,0.1,24.4
2020-07-31T01:00:00-07:00,9.7,4.6,67.5,0.1,48.7
