Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2024-04-01T00:00:00-07:00,35.8,19.6,43.9,0.0,5.4
2024-04-02T00:00:00-07:00,41.6,17.4,48.1,0.0,3.4
2024-04-03T00:00:00-07:00,18.9,10.2,42.7,0.0,17.9
2024-04-04T00:00:00-07:00,15.0,9.1,13.4,0.0,0.0
2024-04-05T00:00:00-07:00,14.0,7.3,16.0,0.0,0.0
2024-04-06T00:00:00-07:00,19.1,11.5,27.5,0.0,4.0
2024-04-07T00:00:00-07:00,42.9,22.3,43.9,0.0,3.0
2024-04-08T00:00:00-07:00,26.0,17.2,12.7,0.0,0.0
2024-04-09T00:00:00-07:00,22.4,10.3,27.3,3.1,0.0
2024-04-10T00:00:00-07:00,22.3,10.7,52.7,0.0,11.5
2024-04-11T00:00:00-07:00,32.6,18.0,31.9,0.0,0.0
2024-04-12T00:00:00-07:00,36.8,16.1,58.7,0.0,17.4
2024-04-13T00:00:00-07:00,19.3,7.3,44.5,0.0,18.6
2024-04-14T00:00:00-07:00,43.3,16.7,61.1,0.0,22.5
2024-04-15T00:00:00-07:00,29.7,16.6,24.3,0.0,0.0
2024-04-16T00:00:00-07:00,80.6,27.2,47.8,21.7,0.0
2024-04-17T00:00:00-07:00,65.0,6.2,64.4,45.5,16.5
2024-04-18T00:00:00-07:00,49.5,35.4,65.9,0.0,34.9
2024-04-19T00:00:00-07:00,54.8,19.8,64.5,5.8,0.1
2024-04-20T00:00:00-07:00,49.1,19.1,45.9,0.0,0.0
2024-04-21T00:00:00-07:00,40.6,17.4,57.5,0.0,0.4
2024-04-22T00:00:00-07:00,60.2,25.8,61.9,0.0,2.3
2024-04-23T00:00:00-07:00,44.7,17.8,60.7,0.0,10.8
2024-04-24T00:00:00-07:00,22.7,15.2,18.2,0.0,0.0
2024-04-25T00:00:00-07:00,18.3,11.6,21.2,0.0,0.0
2024-04-26T00:00:00-07:00,38.0,19.2,49.0,0.0,0.8
2024-04-27T00:00:00-07:00,31.0,16.9,24.3,0.0,0.0
2024-04-28T00:00:00-07:00,16.0,7.3,31.3,0.0,0.0
2024-04-29T00:00:00-07:00,20.8,9.3,44.0,0.0,22.9
2024-04-30T00:00:00-07:00,15.1,6.2,60.3,0.0,39.9
