Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2021-03-01T01:00:00-08:00,48.2,10.0,32.7,17.5,0.1
2021-03-02T01:00:00-08:00,78.1,9.6,18.7,61.1,0.1
2021-03-03T01:00:00-08:00,38.2,17.9,46.9,10.4,3.8
2021-03-04T01:00:00-08:00,21.1,14.0,23.0,0.2,0.2
2021-03-05T01:00:00-08:00,30.1,14.3,11.1,8.9,0.2
2021-03-06T01:00:00-08:00,31.8,10.0,37.0,9.4,0.3
2021-03-07T01:00:00-08:00,23.9,17.6,28.5,0.2,0.2
2021-03-08T01:00:00-08:00,20.9,11.8,42.1,0.1,8.9
2021-03-09T01:00:00-08:00,25.3,14.6,31.4,0.1,2.8
2021-03-10T01:00:00-08:00,30.4,18.9,52.9,0.2,24.6
2021-03-11T01:00:00-08:00,50.3,20.3,54.7,0.2,1.5
2021-03-12T01:00:00-08:00,49.9,22.6,51.0,0.3,4.5
2021-03-13T01:00:00-08:00,37.0,17.1,42.3,0.3,0.3
2021-03-14T01:00:00-08:00,29.2,15.9,8.4,6.6,0.2
2021-03-15T01:00:00-07:00,27.8,10.7,51.9,3.9,0.2
2021-03-16T01:00:00-07:00,23.4,9.6,54.9,0.1,27.4
2021-03-17T01:00:00-07:00,37.1,14.4,46.4,0.2,8.3
2021-03-18T01:00:00-07:00,20.4,13.9,14.0,0.2,0.2
2021-03-19T01:00:00-07:00,16.7,6.7,32.1,0.2,1.4
2021-03-20T01:00:00-07:00,18.4,11.8,20.3,0.2,0.2
2021-03-21T01:00:00-07:00,20.2,16.4,7.0,0.2,0.2
2021-03-22T01:00:00-07:00,11.8,6.1,34.2,0.2,3.5
2021-03-23T01:00:00-07:00,14.6,7.8,47.3,0.1,30.1
2021-03-24T01:00:00-07:00,8.6,5.1,11.1,0.1,1.4
2021-03-25T01:00:00-07:00,13.8,6.9,43.0,0.1,28.5
2021-03-26T01:00:00-07:00,17.7,10.7,28.8,0.1,12.0
2021-03-27T01:00:00-07:00,26.8,12.2,41.0,0.2,12.0
2021-03-28T01:00:00-07:00,15.7,8.8,9.8,0.2,0.2
2021-03-29T01:00:00-07:00,21.2,11.5,48.4,0.1,19.7
2021-03-30T01:00:00-07:00,25.7,10.2,63.3,0.1,33.2
2021-03-31T01:00:00-07:00,33.5,12.2,62.8,0.1,26.2
