Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2022-09-01T01:00:00-07:00,64.0,9.1,37.8,27.5,0.1
2022-09-02T01:00:00-07:00,79.7,18.4,55.9,26.2,0.1
2022-09-03T01:00:00-07:00,20.4,5.1,22.5,8.2,0.1
2022-09-04T01:00:00-07:00,20.0,10.3,33.6,0.1,6.8
2022-09-05T01:00:00-07:00,19.0,8.3,55.9,0.1,32.4
2022-09-06T01:00:00-07:00,29.1,12.9,60.0,0.1,35.5
2022-09-07T01:00:00-07:00,56.7,4.2,59.3,27.4,18.7
2022-09-08T01:00:00-07:00,27.2,1.0,60.5,14.3,47.2
2022-09-09T01:00:00-07:00,28.5,0.9,46.3,14.5,31.7
2022-09-10T01:00:00-07:00,41.9,1.9,52.2,24.1,33.3
2022-09-11T01:00:00-07:00,79.5,23.4,27.7,33.1,0.2
2022-09-12T01:00:00-07:00,41.5,19.9,44.6,3.9,3.8
2022-09-13T01:00:00-07:00,41.2,12.3,31.5,10.8,0.1
2022-09-14T01:00:00-07:00,35.9,16.6,33.2,5.9,0.1
2022-09-15T01:00:00-07:00,37.6,5.5,21.8,15.8,0.1
2022-09-16T01:00:00-07:00,25.8,8.0,30.3,5.0,0.2
2022-09-17T01:00:00-07:00,24.0,9.8,42.1,0.2,7.5
2022-09-18T01:00:00-07:00,29.6,14.3,52.1,0.1,28.3
2022-09-19T01:00:00-07:00,44.2,23.8,52.3,0.2,11.4
2022-09-20T01:00:00-07:00,36.2,12.6,52.2,0.2,4.4
2022-09-21T01:00:00-07:00,21.7,12.1,46.4,0.1,22.8
2022-09-22T01:00:00-07:00,15.5,10.1,23.1,0.2,3.0
2022-09-23T01:00:00-07:00,42.5,24.5,35.0,0.3,7.2
2022-09-24T01:00:00-07:00,36.3,17.1,49.5,4.2,11.2
2022-09-25T01:00:00-07:00,50.7,20.1,47.8,7.7,1.8
2022-09-26T01:00:00-07:00,56.7,24.4,43.7,17.8,6.8
2022-09-27T01:00:00-07:00,46.8,20.1,43.7,7.1,1.5
2022-09-28T01:00:00-07:00,56.3,4.7,16.5,41.0,0.0
2022-09-29T01:00:00-07:00,27.1,11.6,38.3,4.9,5.1
2022-09-30T01:00:00-07:00,30.8,14.9,34.7,0.2,1.3
