Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2025-01-01T00:00:00-08:00,24.4,2.0,6.2,19.3,0.0
2025-01-02T00:00:00-08:00,54.8,0.4,2.9,52.7,0.0
2025-01-03T00:00:00-08:00,51.2,0.0,2.3,49.7,0.0
2025-01-04T00:00:00-08:00,43.1,0.0,2.3,41.6,0.0
2025-01-05T00:00:00-08:00,36.3,0.0,2.5,34.7,0.0
2025-01-06T00:00:00-08:00,21.3,0.0,3.6,18.8,0.0
2025-01-07T00:00:00-08:00,29.2,1.2,6.5,23.6,0.0
2025-01-08T00:00:00-08:00,22.9,5.2,11.6,12.9,0.0
2025-01-09T00:00:00-08:00,21.9,6.3,13.4,10.0,0.0
2025-01-10T00:00:00-08:00,31.6,0.0,4.1,28.5,0.0
2025-01-11T00:00:00-08:00,25.3,1.1,9.0,17.0,0.0
2025-01-12T00:00:00-08:00,23.2,0.0,4.2,20.2,0.0
2025-01-13T00:00:00-08:00,20.4,0.4,5.8,15.2,0.0
2025-01-14T00:00:00-08:00,21.3,0.5,4.0,18.2,0.0
2025-01-15T00:00:00-08:00,46.0,0.0,3.4,43.4,0.0
2025-01-16T00:00:00-08:00,15.7,1.1,4.7,12.3,0.0
2025-01-17T00:00:00-08:00,29.5,2.4,9.7,21.1,0.0
2025-01-18T00:00:00-08:00,32.8,6.8,22.5,21.0,0.0
2025-01-19T00:00:00-08:00,83.6,20.7,25.0,52.4,0.0
2025-01-20T00:00:00-08:00,49.2,6.8,22.7,28.0,0.0
2025-01-21T00:00:00-08:00,35.4,13.6,25.1,14.8,0.5
2025-01-22T00:00:00-08:00,25.8,10.8,25.5,5.9,0.0
2025-01-23T00:00:00-08:00,27.3,10.5,19.2,5.4,0.0
2025-01-24T00:00:00-08:00,40.4,8.4,25.0,17.3,0.0
2025-01-25T00:00:00-08:00,34.8,11.9,27.7,13.0,0.6
2025-01-26T00:00:00-08:00,47.3,17.2,27.6,16.1,0.0
2025-01-27T00:00:00-08:00,36.3,10.8,28.6,12.6,0.0
2025-01-28T00:00:00-08:00,35.7,13.0,28.7,13.6,0.0
2025-01-29T00:00:00-08:00,35.9,15.6,21.1,13.4,0.0
2025-01-30T00:00:00-08:00,35.7,4.4,4.8,27.3,0.0
2025-01-31T00:00:00-08:00,30.8,0.8,5.3,26.3,0.0
