Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2021-06-01T01:00:00-07:00,48.7,76.4,22.4,0.2,-30.1
2021-06-02T01:00:00-07:00,39.8,74.9,13.9,0.1,-25.9
2021-06-03T01:00:00-07:00,34.0,72.3,9.7,0.1,-34.8
2021-06-04T01:00:00-07:00,31.4,58.6,14.3,0.2,-27.6
2021-06-05T01:00:00-07:00,21.6,52.7,9.2,0.1,-26.5
2021-06-06T01:00:00-07:00,22.3,31.5,12.6,0.2,-9.0
2021-06-07T01:00:00-07:00,23.2,74.1,10.7,0.1,-45.6
2021-06-08T01:00:00-07:00,31.4,68.8,9.4,0.1,-36.6
2021-06-09T01:00:00-07:00,35.3,79.3,10.7,0.1,-44.5
2021-06-10T01:00:00-07:00,34.9,68.6,9.3,0.1,-29.9
2021-06-11T01:00:00-07:00,13.9,24.0,4.5,0.1,-4.1
2021-06-12T01:00:00-07:00,23.4,67.3,9.1,0.1,-47.8
2021-06-13T01:00:00-07:00,18.8,22.5,9.2,0.3,-0.3
2021-06-14T01:00:00-07:00,17.5,30.2,5.6,0.1,-8.3
2021-06-15T01:00:00-07:00,28.0,63.9,10.0,0.1,-36.2
2021-06-16T01:00:00-07:00,24.8,74.8,8.3,0.1,-48.4
2021-06-17T01:00:00-07:00,26.7,78.9,9.5,0.1,-51.8
2021-06-18T01:00:00-07:00,39.0,78.2,13.6,0.1,-38.2
2021-06-19T01:00:00-07:00,38.8,73.0,14.8,0.1,-33.8
2021-06-20T01:00:00-07:00,34.8,78.6,10.6,0.1,-34.0
2021-06-21T01:00:00-07:00,23.9,76.5,4.5,0.1,-51.1
2021-06-22T01:00:00-07:00,20.7,70.7,4.1,0.1,-48.3
2021-06-23T01:00:00-07:00,14.7,64.0,3.6,0.1,-47.1
2021-06-24T01:00:00-07:00,53.0,74.0,20.8,0.1,-34.8
2021-06-25T01:00:00-07:00,54.8,74.9,22.2,0.2,-13.6
2021-06-26T01:00:00-07:00,57.7,73.4,25.1,0.2,-16.3
2021-06-27T01:00:00-07:00,58.1,74.3,22.9,0.3,-11.7
2021-06-28T01:00:00-07:00,42.4,73.4,12.4,21.9,-45.6
2021-06-29T01:00:00-07:00,51.9,72.6,21.3,0.1,-17.5
2021-06-30T01:00:00-07:00,29.8,63.4,13.5,0.1,-27.4
