Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2021-05-01T01:00:00-07:00,12.1,5.5,35.3,0.1,20.8
2021-05-02T01:00:00-07:00,11.6,5.9,56.6,0.1,45.0
2021-05-03T01:00:00-07:00,15.6,6.2,26.8,0.1,9.6
2021-05-04T01:00:00-07:00,10.8,3.5,67.4,0.1,53.6
2021-05-05T01:00:00-07:00,9.9,3.4,56.1,0.1,44.6
2021-05-06T01:00:00-07:00,10.2,4.0,38.5,0.1,27.2
2021-05-07T01:00:00-07:00,17.6,9.3,41.9,0.2,27.0
2021-05-08T01:00:00-07:00,19.5,9.5,49.9,0.1,26.4
2021-05-09T01:00:00-07:00,30.1,5.5,71.8,0.1,36.3
2021-05-10T01:00:00-07:00,26.7,7.5,71.5,0.1,45.8
2021-05-11T01:00:00-07:00,22.4,12.3,75.3,0.1,58.0
2021-05-12T01:00:00-07:00,22.8,8.8,58.2,0.2,27.9
2021-05-13T01:00:00-07:00,14.4,6.1,74.6,0.2,57.0
2021-05-14T01:00:00-07:00,19.5,6.8,77.1,0.1,56.3
2021-05-15T01:00:00-07:00,11.6,5.5,74.6,0.1,59.9
2021-05-16T01:00:00-07:00,19.2,6.5,73.6,0.1,52.5
2021-05-17T01:00:00-07:00,10.2,5.2,25.1,0.1,14.0
2021-05-18T01:00:00-07:00,8.8,2.8,53.9,0.1,41.4
2021-05-19T01:00:00-07:00,10.3,2.6,77.8,0.1,66.4
2021-05-20T01:00:00-07:00,9.2,3.6,51.8,0.1,41.8
2021-05-21T01:00:00-07:00,20.0,6.8,51.7,0.1,32.0
2021-05-22T01:00:00-07:00,28.6,12.6,42.3,0.2,13.8
2021-05-23T01:00:00-07:00,20.0,7.8,21.2,0.2,0.2
2021-05-24T01:00:00-07:00,31.7,14.9,27.1,0.2,0.2
2021-05-25T01:00:00-07:00,24.0,7.0,44.8,0.2,9.0
2021-05-26T01:00:00-07:00,28.7,7.2,58.1,0.1,27.5
2021-05-27T01:00:00-07:00,25.6,9.3,45.3,0.2,17.4
2021-05-28T01:00:00-07:00,37.8,13.3,48.6,0.2,9.6
2021-05-29T01:00:00-07:00,32.3,6.5,79.8,0.1,43.8
2021-05-30T01:00:00-07:00,16.6,10.7,52.4,0.1,37.4
2021-05-31T01:00:00-07:00,49.8,15.7,72.4,0.2,24.1
